المؤشر - بناءً على الاسهم القابلة للتداول,التاريخ,إفتتاح,الأعلى,الأدنى,إقفال,الكمية المتداولة,اجمالي القيمة المتداولة (ر.س),عدد الصفقات
مؤشر السوق الرئيسية (تاسي),04-05-2008,9181.21,9424.64,9181.21,9408.81,206075391,8639184103.25,217093
مؤشر السوق الرئيسية (تاسي),04-06-2008,9408.81,9456.17,9298.88,9307.06,197212623,7975067603.75,208520
مؤشر السوق الرئيسية (تاسي),04-07-2008,9307.06,9410.45,9194.24,9410.18,167788095,7246638004,177176
مؤشر السوق الرئيسية (تاسي),04-08-2008,9410.18,9495.07,9391.06,9423.58,185893180,8154008736.5,208764
مؤشر السوق الرئيسية (تاسي),04-09-2008,9423.58,9501.72,9365.39,9501.72,148850990,6558285162,179285
مؤشر السوق الرئيسية (تاسي),04-12-2008,9501.72,9566.32,9491.31,9552.63,191392623,9011483677.5,225100
مؤشر السوق الرئيسية (تاسي),04-13-2008,9552.63,9570.82,9489.13,9562.23,184557428,7713399299.5,197987
مؤشر السوق الرئيسية (تاسي),04-14-2008,9562.23,9621.22,9535.74,9604.2,169453328,7403628722.5,181534
مؤشر السوق الرئيسية (تاسي),04-15-2008,9604.2,9645.64,9511.14,9522.93,179979065,7339722613.5,183078
مؤشر السوق الرئيسية (تاسي),04-16-2008,9522.93,9661.66,9522.93,9630.37,219766025,8086357692.5,167487
مؤشر السوق الرئيسية (تاسي),04-19-2008,9630.37,9692.36,9494.27,9497.16,257927339,10548897284,180054
مؤشر السوق الرئيسية (تاسي),04-20-2008,9497.16,9522.79,9295.1,9521.61,259939708,11377375576.25,190413
مؤشر السوق الرئيسية (تاسي),04-21-2008,9521.61,9670.17,9521.61,9638.79,356672784,13279939853.75,224276
مؤشر السوق الرئيسية (تاسي),04-22-2008,9638.79,9693,9596.12,9692.96,311741032,12527898768.75,224413
مؤشر السوق الرئيسية (تاسي),04-23-2008,9692.96,9820.74,9675.57,9754.1,301909861,11922919517,223469
مؤشر السوق الرئيسية (تاسي),04-26-2008,9754.1,9915.02,9752.57,9902.74,293776986,10621535144.25,210655
مؤشر السوق الرئيسية (تاسي),04-27-2008,9902.74,9957.48,9746.67,9766.27,275653654,9672947508.5,199130
مؤشر السوق الرئيسية (تاسي),04-28-2008,9766.27,9908.82,9704.65,9907.12,224824357,8618123942.5,181168
مؤشر السوق الرئيسية (تاسي),04-29-2008,9907.12,10099.21,9907.12,10089.52,284714200,11582770464.75,204830
مؤشر السوق الرئيسية (تاسي),04-30-2008,10089.52,10098.76,9976.87,10066.16,275222396,11410021695.5,202587
مؤشر السوق الرئيسية (تاسي),05-03-2008,10066.16,10121.67,9973.95,10057.69,205744306,9789881904.75,178901
مؤشر السوق الرئيسية (تاسي),05-04-2008,10057.69,10064.34,9989.41,10055.23,199708876,8661238157.25,175947
مؤشر السوق الرئيسية (تاسي),05-05-2008,10055.23,10077.73,9964.45,10030.62,198342784,8141535676,172189
مؤشر السوق الرئيسية (تاسي),05-06-2008,10030.62,10048.56,9914,9926.63,257222638,9096881700.25,201918
مؤشر السوق الرئيسية (تاسي),05-07-2008,9926.63,9926.63,9692.88,9771.85,186330717,7221737130.25,167923
مؤشر السوق الرئيسية (تاسي),05-10-2008,9771.85,9777.69,9241,9502.96,239813656,9365432366,207531
مؤشر السوق الرئيسية (تاسي),05-11-2008,9502.96,9709.44,9502.03,9695.29,187977979,7223874800.25,172797
مؤشر السوق الرئيسية (تاسي),05-12-2008,9695.29,9749.34,9566.13,9615.05,180441267,6989022739.5,163550
مؤشر السوق الرئيسية (تاسي),05-13-2008,9615.05,9766.23,9511.71,9749.53,176513208,6878463846.75,148800
مؤشر السوق الرئيسية (تاسي),05-14-2008,9749.53,9815.14,9721.31,9783.19,191654953,7107155539.25,145934
مؤشر السوق الرئيسية (تاسي),05-17-2008,9783.19,9801.65,9640.37,9664.54,236213644,6427012749,425291
مؤشر السوق الرئيسية (تاسي),05-18-2008,9664.54,9716.54,9572.45,9646.44,179160916,5137071122,160213
مؤشر السوق الرئيسية (تاسي),05-19-2008,9646.44,9675.1,9547.99,9630.65,224924003,8018037556.5,165543
مؤشر السوق الرئيسية (تاسي),05-20-2008,9630.65,9706.02,9630.65,9673.25,186284407,6876836691.75,150150
مؤشر السوق الرئيسية (تاسي),05-21-2008,9673.25,9716.96,9623.13,9672.62,192240518,7313772782.25,163538
مؤشر السوق الرئيسية (تاسي),05-24-2008,9672.62,9698,9600.12,9665.78,240182614,8972660798.75,444080
مؤشر السوق الرئيسية (تاسي),05-25-2008,9665.78,9767.67,9634.13,9715.31,213459036,8875935931.25,201985
مؤشر السوق الرئيسية (تاسي),05-26-2008,9715.31,9724.83,9527,9553.26,184703856,8375498149.75,484897
مؤشر السوق الرئيسية (تاسي),05-27-2008,9553.26,9575.1,9456.49,9482.25,138744112,5603326110.5,176155
مؤشر السوق الرئيسية (تاسي),05-28-2008,9482.25,9510.2,9425.22,9491.31,136893268,5477569093,153999
مؤشر السوق الرئيسية (تاسي),05-31-2008,9491.31,9540.04,9477.02,9529.34,125111205,5031312824.25,130031
مؤشر السوق الرئيسية (تاسي),06-01-2008,9529.34,9560.23,9490.06,9503.28,117494565,4909440617,133825
مؤشر السوق الرئيسية (تاسي),06-02-2008,9503.28,9560.83,9462.61,9516.57,189621218,6571669482.75,142422
مؤشر السوق الرئيسية (تاسي),06-03-2008,9516.57,9525.36,9458.87,9501.92,947398107,15138642648,921981
مؤشر السوق الرئيسية (تاسي),06-04-2008,9501.92,9674.67,9501.92,9661.48,501579855,13658349984.75,418469
مؤشر السوق الرئيسية (تاسي),06-07-2008,9661.48,9842.3,9657.52,9765,377073162,12783166070.5,350134
مؤشر السوق الرئيسية (تاسي),06-08-2008,9765,9816.47,9696.19,9737.31,664242978,15276688626,398624
مؤشر السوق الرئيسية (تاسي),06-09-2008,9737.31,9839.17,9737.31,9777.04,384578627,12596226549.5,285041
مؤشر السوق الرئيسية (تاسي),06-10-2008,9777.04,9844.81,9732.34,9766.37,448729679,12379044346.25,267231
مؤشر السوق الرئيسية (تاسي),06-11-2008,9766.37,9782.57,9666.15,9688.45,391836016,11670995966.5,274028
مؤشر السوق الرئيسية (تاسي),06-14-2008,9688.45,9734.78,9679.09,9708.78,294004309,10704589536,246770
مؤشر السوق الرئيسية (تاسي),06-15-2008,9708.78,9745.63,9647.93,9687.09,304828981,11573558003.5,266883
مؤشر السوق الرئيسية (تاسي),06-16-2008,9687.09,9782.19,9669.38,9782.19,250418646,9982788208.75,538251
مؤشر السوق الرئيسية (تاسي),06-17-2008,9782.19,9836.75,9760.81,9814.94,317422309,10732233336,310990
مؤشر السوق الرئيسية (تاسي),06-18-2008,9814.94,9836,9737.82,9778.48,257350335,9793531018.75,289899
مؤشر السوق الرئيسية (تاسي),06-21-2008,9778.48,9798.31,9732.13,9768.54,253106083,9542069718.5,459644
مؤشر السوق الرئيسية (تاسي),06-22-2008,9768.54,9832.07,9757.72,9801.99,309521438,10060967397.75,257312
مؤشر السوق الرئيسية (تاسي),06-23-2008,9801.99,9835.55,9756.14,9789.91,249689259,7960279943,224004
مؤشر السوق الرئيسية (تاسي),06-24-2008,9789.91,9811.43,9683.59,9731.8,231766978,7845846187.25,211327
مؤشر السوق الرئيسية (تاسي),06-25-2008,9731.8,9736.55,9573.3,9581.34,212654550,7537139728.25,205869
مؤشر السوق الرئيسية (تاسي),06-28-2008,9581.34,9583.32,9245.15,9313.4,259200494,8692517085,235222
مؤشر السوق الرئيسية (تاسي),06-29-2008,9313.4,9402.52,9252.75,9324.36,225239894,7392858499,195978
مؤشر السوق الرئيسية (تاسي),06-30-2008,9324.36,9399.05,9237.25,9352.32,166681799,6546534941.5,163387
مؤشر السوق الرئيسية (تاسي),07-01-2008,9352.32,9396.7,9282.51,9385.19,189723882,6598690124.75,168175
مؤشر السوق الرئيسية (تاسي),07-02-2008,9385.19,9474.78,9385.19,9467.68,178792113,6393426796.75,185338
مؤشر السوق الرئيسية (تاسي),07-05-2008,9467.68,9472.85,9359.2,9378.34,199477727,7055800216.5,192814
مؤشر السوق الرئيسية (تاسي),07-06-2008,9378.34,9483.23,9276.03,9483.23,223252866,7775015009.75,204703
مؤشر السوق الرئيسية (تاسي),07-07-2008,9483.23,9567.26,9483.23,9517.32,190135037,7384476892.75,210285
مؤشر السوق الرئيسية (تاسي),07-08-2008,9517.32,9524.23,9241.02,9293.45,198973793,7892172101.25,208097
مؤشر السوق الرئيسية (تاسي),07-09-2008,9293.45,9306.07,8978.26,8998.28,224648539,8500652979.25,222331
مؤشر السوق الرئيسية (تاسي),07-12-2008,8998.28,9039.63,8879.42,8995.07,187555136,6417116319.75,193066
مؤشر السوق الرئيسية (تاسي),07-13-2008,8995.07,9183.15,8990.72,9145.03,208556898,8108961001,213940
مؤشر السوق الرئيسية (تاسي),07-14-2008,9145.03,9161.98,9079.66,9099.2,223196382,6920992339.5,440875
مؤشر السوق الرئيسية (تاسي),07-15-2008,9099.2,9099.34,8585.29,8706.77,226705270,7004537661.75,207420
مؤشر السوق الرئيسية (تاسي),07-16-2008,8706.77,8878.91,8512.32,8861.24,239572698,6997056766,490928
مؤشر السوق الرئيسية (تاسي),07-19-2008,8861.24,9163.15,8842,9073.8,290620114,9079949731.75,237574
مؤشر السوق الرئيسية (تاسي),07-20-2008,9073.8,9122.1,8921.66,9081.65,262124487,8442995732,225280
مؤشر السوق الرئيسية (تاسي),07-21-2008,9081.65,9126.72,8996.2,9096.16,191523836,6850913092.25,188858
مؤشر السوق الرئيسية (تاسي),07-22-2008,9096.16,9117.15,9035.69,9108.42,196578533,6537919519.25,199002
مؤشر السوق الرئيسية (تاسي),07-23-2008,9108.42,9141.47,9039.62,9080.87,180744612,6561934056.5,191874
مؤشر السوق الرئيسية (تاسي),07-26-2008,9080.87,9080.87,8961.87,9022.31,153310829,5989058756.25,163174
مؤشر السوق الرئيسية (تاسي),07-27-2008,9022.31,9044.27,8931.61,8942.89,164532587,5849930841.25,159595
مؤشر السوق الرئيسية (تاسي),07-28-2008,8942.89,8942.89,8771.03,8805.45,447613322,13265025098.5,733901
مؤشر السوق الرئيسية (تاسي),07-29-2008,8805.45,8853.03,8664.7,8773.05,271655202,8137517964.25,304065
مؤشر السوق الرئيسية (تاسي),07-30-2008,8773.05,8822.13,8702.96,8740.74,178613184,5540159694,211807
مؤشر السوق الرئيسية (تاسي),08-02-2008,8740.74,8740.74,8519.9,8633.5,184025652,5852300298.25,200739
مؤشر السوق الرئيسية (تاسي),08-03-2008,8633.5,8693.31,8608.92,8627.24,131541286,4298570349.25,161867
مؤشر السوق الرئيسية (تاسي),08-04-2008,8627.24,8632,8454.84,8469.77,108219387,3555303552.25,136761
مؤشر السوق الرئيسية (تاسي),08-05-2008,8469.77,8505.91,8380.02,8502.2,113127885,3683964152.5,130709
مؤشر السوق الرئيسية (تاسي),08-06-2008,8502.2,8539.04,8450.15,8451.06,108532626,3351161532.25,129785
مؤشر السوق الرئيسية (تاسي),08-09-2008,8451.06,8451.06,8173.57,8173.97,112541390,3504547296.5,136681
مؤشر السوق الرئيسية (تاسي),08-10-2008,8173.97,8178.51,7810.54,7884.14,147187796,4514224959.5,151877
مؤشر السوق الرئيسية (تاسي),08-11-2008,7884.14,8094.15,7870.13,8067.62,159116228,4763597658.5,143284
مؤشر السوق الرئيسية (تاسي),08-12-2008,8067.62,8199.36,8014.15,8165.42,112550597,3862213820.25,124099
مؤشر السوق الرئيسية (تاسي),08-13-2008,8165.42,8228.42,8133.43,8188.3,154439347,4645972081.5,146168
مؤشر السوق الرئيسية (تاسي),08-16-2008,8188.3,8334.1,8188.3,8331.63,186127825,5321483832,172932
مؤشر السوق الرئيسية (تاسي),08-17-2008,8331.63,8433.48,8331.15,8357.23,164918727,4889991800.25,161796
مؤشر السوق الرئيسية (تاسي),08-18-2008,8357.23,8411.4,8251.01,8411.4,142006689,4672314673,386411
مؤشر السوق الرئيسية (تاسي),08-19-2008,8411.4,8477.53,8376.32,8418.96,152118421,4973100400.5,218668
مؤشر السوق الرئيسية (تاسي),08-20-2008,8418.96,8469.32,8366.56,8463.71,117240949,3816783412.25,154602
مؤشر السوق الرئيسية (تاسي),08-23-2008,8463.71,8902.79,8463.71,8901.9,288436496,8758317349.25,203182
مؤشر السوق الرئيسية (تاسي),08-24-2008,8901.9,8994,8850.64,8899.27,243701677,7137910570,177919
مؤشر السوق الرئيسية (تاسي),08-25-2008,8899.27,8941.08,8781.81,8933.79,171331316,5413824652,142037
مؤشر السوق الرئيسية (تاسي),08-26-2008,8933.79,9001.21,8897.13,8981.99,171829394,5492482367,144758
مؤشر السوق الرئيسية (تاسي),08-27-2008,8981.99,8997.56,8888.42,8898.97,181027970,5884209486.5,158688
مؤشر السوق الرئيسية (تاسي),08-30-2008,8898.97,8898.97,8677.73,8713.87,140186276,4588481918,138085
مؤشر السوق الرئيسية (تاسي),08-31-2008,8713.87,8782.85,8687.6,8757.04,101043979,3245946707,100041
مؤشر السوق الرئيسية (تاسي),09-01-2008,8757.04,8780.02,8718.64,8751.87,73013284,2143620424.25,62468
مؤشر السوق الرئيسية (تاسي),09-02-2008,8751.87,8754.8,8567.79,8590.37,93336509,3445662036.5,85854
مؤشر السوق الرئيسية (تاسي),09-03-2008,8590.37,8605.38,8482.93,8504.72,80966812,2977712648,78491
مؤشر السوق الرئيسية (تاسي),09-06-2008,8504.72,8504.72,7851.44,8044.79,213269939,6201252550,151632
مؤشر السوق الرئيسية (تاسي),09-07-2008,8044.79,8117.7,7867.46,7907.52,168192202,5027040287.75,124720
مؤشر السوق الرئيسية (تاسي),09-08-2008,7907.52,8277.01,7906.57,8245.21,227089863,6279043924,126827
مؤشر السوق الرئيسية (تاسي),09-09-2008,8245.21,8268.05,8009.4,8030.69,131918854,3865081487.75,101792
مؤشر السوق الرئيسية (تاسي),09-10-2008,8030.69,8141.9,7936.24,8128.1,117312898,3500791232.5,95157
مؤشر السوق الرئيسية (تاسي),09-13-2008,8128.1,8141.29,7790.31,7802.25,109154099,3050201336.9,90633
مؤشر السوق الرئيسية (تاسي),09-14-2008,7802.25,7826.12,7539.78,7759.07,157980405,4084312451.78,123573
مؤشر السوق الرئيسية (تاسي),09-15-2008,7759.07,7759.94,7194,7255.15,168814272,4487965401.8,110957
مؤشر السوق الرئيسية (تاسي),09-16-2008,7255.15,7282.01,6932.41,7216.71,233736501,5502320047.75,413658
مؤشر السوق الرئيسية (تاسي),09-17-2008,7216.71,7484.41,7216.09,7387.25,220932803,5517714325.68,219142
مؤشر السوق الرئيسية (تاسي),09-20-2008,7387.25,7713.07,7387.25,7586.68,226113843,5906662212.15,191453
مؤشر السوق الرئيسية (تاسي),09-21-2008,7586.68,7610.27,7450.38,7538.65,146896248,3698163774.29,140211
مؤشر السوق الرئيسية (تاسي),09-22-2008,7538.65,7544.06,7425.66,7461.14,94306725,2431090801.45,107417
مؤشر السوق الرئيسية (تاسي),09-24-2008,7461.14,7461.14,6961.01,7133.47,150127951,3821784308.49,134923
مؤشر السوق الرئيسية (تاسي),09-27-2008,7133.47,7133.47,6885.52,6993.13,148045319,3461417518.74,123223
مؤشر السوق الرئيسية (تاسي),09-28-2008,6993.13,7489.98,6992.72,7458.5,196724001,4801861357.09,145506
مؤشر السوق الرئيسية (تاسي),10-06-2008,7458.5,7458.5,6724.09,6726.6,60290897,1393237785.05,39583
مؤشر السوق الرئيسية (تاسي),10-07-2008,6726.6,6726.6,6120.49,6253.72,256741692,5241180086.75,141342
مؤشر السوق الرئيسية (تاسي),10-08-2008,6253.72,6253.72,5696.01,6160.52,333785340,7055790533.79,176496
مؤشر السوق الرئيسية (تاسي),10-11-2008,6160.52,6160.52,5734.83,5794.87,393478811,7781649727.1,190698
مؤشر السوق الرئيسية (تاسي),10-12-2008,5794.87,5906.03,5639.96,5814.6,376938130,7087759832.2,174854
مؤشر السوق الرئيسية (تاسي),10-13-2008,5814.6,6371.8,5814.6,6365.23,464956755,8259306207.19,199705
مؤشر السوق الرئيسية (تاسي),10-14-2008,6365.23,6953.29,6365.23,6828.96,478981787,10450455923.04,233270
مؤشر السوق الرئيسية (تاسي),10-15-2008,6828.96,6865.25,6289.99,6863.15,461499880,10285898511.39,231763
مؤشر السوق الرئيسية (تاسي),10-18-2008,6863.15,6863.15,6476.34,6503.94,308728883,6738180016.64,180243
مؤشر السوق الرئيسية (تاسي),10-19-2008,6503.94,6596,6183.72,6258.32,215779725,5393633341.15,157916
مؤشر السوق الرئيسية (تاسي),10-20-2008,6258.32,6444.34,6212.38,6345.75,335153013,7190108403.05,173500
مؤشر السوق الرئيسية (تاسي),10-21-2008,6345.75,6546.31,6314.95,6397.14,370846168,8104035503.8,198789
مؤشر السوق الرئيسية (تاسي),10-22-2008,6397.14,6397.27,6121.96,6160.8,214837483,5357153336.15,146453
مؤشر السوق الرئيسية (تاسي),10-25-2008,6160.8,6160.8,5564.96,5624.68,169193749,4096011840.9,101772
مؤشر السوق الرئيسية (تاسي),10-26-2008,5624.68,5624.68,5360.75,5531.57,283356020,5561725205.84,164456
مؤشر السوق الرئيسية (تاسي),10-27-2008,5531.57,5561.43,5218.13,5338.68,270170551,5044206141.9,152273
مؤشر السوق الرئيسية (تاسي),10-28-2008,5338.68,5656.86,5301.91,5621.99,440872514,7843231783.59,200192
مؤشر السوق الرئيسية (تاسي),10-29-2008,5621.99,5884.27,5511.95,5537.82,408571109,7324482790.65,193940
مؤشر السوق الرئيسية (تاسي),11-01-2008,5537.82,5878.5,5526.99,5871.24,376230864,6874404540.19,167705
مؤشر السوق الرئيسية (تاسي),11-02-2008,5871.24,5895.32,5745.95,5800.9,456242355,8110006487.7,200446
مؤشر السوق الرئيسية (تاسي),11-03-2008,5800.9,5939.06,5769.9,5889.34,370106566,6443942521.65,175633
مؤشر السوق الرئيسية (تاسي),11-04-2008,5889.34,6047.11,5882.23,6045.13,462451954,8947264926.85,206266
مؤشر السوق الرئيسية (تاسي),11-05-2008,6045.13,6224.53,5996.16,6083.87,489881710,8926790769.85,220386
مؤشر السوق الرئيسية (تاسي),11-08-2008,6083.87,6083.87,5727.33,5732.03,233272598,4227246972.54,139143
مؤشر السوق الرئيسية (تاسي),11-09-2008,5732.03,5845.41,5644.59,5836.42,304052705,5281778638.95,158114
مؤشر السوق الرئيسية (تاسي),11-10-2008,5836.42,5907.92,5763.64,5766.16,337211455,5883428570.2,164189
مؤشر السوق الرئيسية (تاسي),11-11-2008,5766.16,5766.16,5455.71,5465.85,274732182,4533902077,149897
مؤشر السوق الرئيسية (تاسي),11-12-2008,5465.85,5485.19,5365.05,5485.19,292380803,4972119324.9,155852
مؤشر السوق الرئيسية (تاسي),11-15-2008,5485.19,5485.19,5066.63,5079.54,265257667,4309570545.84,148534
مؤشر السوق الرئيسية (تاسي),11-16-2008,5079.54,5149.98,4920.61,5145.84,379235041,6061120069.65,164327
مؤشر السوق الرئيسية (تاسي),11-17-2008,5145.84,5245.08,5106.74,5173.12,338743653,5773497987.25,157494
مؤشر السوق الرئيسية (تاسي),11-18-2008,5173.12,5174.38,4950.64,4969.96,236700068,4345630528.95,135958
مؤشر السوق الرئيسية (تاسي),11-19-2008,4969.96,5026.27,4854.78,4880.44,222316063,3912322866.25,130939
مؤشر السوق الرئيسية (تاسي),11-22-2008,4880.44,4880.44,4416.55,4431.57,263294103,4167324961.94,120226
مؤشر السوق الرئيسية (تاسي),11-23-2008,4431.57,4442.71,4223.7,4264.52,377929153,6185341139.75,155608
مؤشر السوق الرئيسية (تاسي),11-24-2008,4264.52,4582.31,4237.49,4529.19,462287190,7064873733.15,177871
مؤشر السوق الرئيسية (تاسي),11-25-2008,4529.19,4694.06,4482.19,4490.46,393402462,5869137893.95,173949
مؤشر السوق الرئيسية (تاسي),11-26-2008,4490.46,4532.29,4384.28,4424.23,228058789,3722719397.65,126400
مؤشر السوق الرئيسية (تاسي),11-29-2008,4424.23,4851.83,4424.23,4845.11,430578822,5936845128.2,168004
مؤشر السوق الرئيسية (تاسي),11-30-2008,4845.11,4976.42,4612.78,4738.14,562395192,8163772693.14,202631
مؤشر السوق الرئيسية (تاسي),12-01-2008,4738.14,4872.88,4665.65,4795.76,369495026,6000815204.25,156674
مؤشر السوق الرئيسية (تاسي),12-02-2008,4795.76,4795.76,4441.45,4588.26,302658260,5395099134.04,161288
مؤشر السوق الرئيسية (تاسي),12-03-2008,4588.26,4705.13,4588.01,4654.88,289777982,4751984639.35,147930
مؤشر السوق الرئيسية (تاسي),12-13-2008,4654.88,4874.97,4650.54,4845.25,331249835,5176346925.55,137015
مؤشر السوق الرئيسية (تاسي),12-14-2008,4845.25,4856.24,4758.17,4780.46,237269965,4296034939.35,123083
مؤشر السوق الرئيسية (تاسي),12-15-2008,4780.46,4866,4778.71,4842.74,215551160,3602941444.04,112245
مؤشر السوق الرئيسية (تاسي),12-16-2008,4842.74,4889.2,4823.26,4841.92,274956375,4409582137.05,133911
مؤشر السوق الرئيسية (تاسي),12-17-2008,4841.92,4960.55,4841.92,4903.81,301776322,4931476592.39,139688
مؤشر السوق الرئيسية (تاسي),12-20-2008,4903.81,4903.81,4698.68,4705.44,199250254,3427901249.9,116741
مؤشر السوق الرئيسية (تاسي),12-21-2008,4705.44,4789.45,4677.27,4774.08,197236491,3370911829.8,114198
مؤشر السوق الرئيسية (تاسي),12-22-2008,4774.08,4826.56,4746,4748.04,276214342,4090873855.75,139588
مؤشر السوق الرئيسية (تاسي),12-23-2008,4748.04,4800.96,4727.4,4743.89,264431717,3767141692.9,133269
مؤشر السوق الرئيسية (تاسي),12-24-2008,4743.89,4744.13,4641.37,4669.05,247523437,3369989584.85,128302
مؤشر السوق الرئيسية (تاسي),12-27-2008,4669.05,4669.05,4532.17,4543.89,218913708,2924504522.45,117589
مؤشر السوق الرئيسية (تاسي),12-28-2008,4543.89,4686.73,4532.74,4686.68,259887818,3886095764.3,133783
مؤشر السوق الرئيسية (تاسي),12-29-2008,4686.68,4741.35,4655.42,4710.77,274318568,4093653271.2,144894
مؤشر السوق الرئيسية (تاسي),12-30-2008,4710.77,4798.92,4689.46,4791.27,303647626,4551276204.89,138939
مؤشر السوق الرئيسية (تاسي),12-31-2008,4791.27,4858.63,4777.28,4802.99,266459700,4374680967.65,149107
مؤشر السوق الرئيسية (تاسي),01-03-2009,4802.99,5034.1,4800.18,5023.22,402965567,6267599941.2,169546
مؤشر السوق الرئيسية (تاسي),01-04-2009,5023.22,5081.89,4988.65,5048.31,314424335,5469127219.95,171236
مؤشر السوق الرئيسية (تاسي),01-05-2009,5048.31,5214.31,5035.16,5180.35,506202066,8116026956.5,203553
مؤشر السوق الرئيسية (تاسي),01-06-2009,5180.35,5291.28,5175.67,5289.73,473079884,7477788492.95,187601
مؤشر السوق الرئيسية (تاسي),01-07-2009,5289.73,5344.31,5248.82,5322.22,421629292,7409839413.35,199812
مؤشر السوق الرئيسية (تاسي),01-10-2009,5322.22,5322.22,5049.89,5160.65,384069554,5819079073.1,166260
مؤشر السوق الرئيسية (تاسي),01-11-2009,5160.65,5216.81,5140.73,5165.61,346590754,5693169174,169606
مؤشر السوق الرئيسية (تاسي),01-12-2009,5165.61,5184.67,5091.32,5152.54,304467132,5040717704.69,158587
مؤشر السوق الرئيسية (تاسي),01-13-2009,5152.54,5152.54,5027.18,5079.7,287059960,4879194735.3,158611
مؤشر السوق الرئيسية (تاسي),01-14-2009,5079.7,5079.7,4929.27,4935.33,253122724,4273983091.1,159047
مؤشر السوق الرئيسية (تاسي),01-17-2009,4935.33,4935.33,4604.59,4700.31,231753130,3958305548.95,145962
مؤشر السوق الرئيسية (تاسي),01-18-2009,4700.31,4715.39,4614.82,4649.67,221742175,3842797646.65,138897
مؤشر السوق الرئيسية (تاسي),01-19-2009,4649.67,4668.49,4613.95,4656.48,179571177,3252360686.5,120280
مؤشر السوق الرئيسية (تاسي),01-20-2009,4656.48,4656.48,4351.66,4544.29,255676135,4203617699.95,146850
مؤشر السوق الرئيسية (تاسي),01-21-2009,4544.29,4600.75,4426.43,4556.8,332017644,5672670790.05,164027
مؤشر السوق الرئيسية (تاسي),01-24-2009,4556.8,4786.89,4556.67,4786.83,367918060,6434380409.89,177016
مؤشر السوق الرئيسية (تاسي),01-25-2009,4786.83,4812.87,4696.85,4810.04,362597312,6493141986.39,193761
مؤشر السوق الرئيسية (تاسي),01-26-2009,4810.04,4834.75,4754.73,4772.81,296141584,5375422410.54,166796
مؤشر السوق الرئيسية (تاسي),01-27-2009,4772.81,4872.86,4769.45,4796.9,323788736,5955354367.65,179155
مؤشر السوق الرئيسية (تاسي),01-28-2009,4796.9,4803.88,4764.84,4789.49,215372142,4088769151.95,148728
مؤشر السوق الرئيسية (تاسي),01-31-2009,4789.49,4866.5,4783.17,4808.9,275172600,5397473071.6,167032
مؤشر السوق الرئيسية (تاسي),02-01-2009,4808.9,4836.53,4749.34,4765.92,254234467,4644245792,167046
مؤشر السوق الرئيسية (تاسي),02-02-2009,4765.92,4776.78,4702.44,4730.51,233230686,4258081299.8,160687
مؤشر السوق الرئيسية (تاسي),02-03-2009,4730.51,4793.84,4722.38,4790.01,305035211,5502995921.35,174344
مؤشر السوق الرئيسية (تاسي),02-04-2009,4790.01,4836.84,4767.36,4794.56,351364582,5911925604.35,191030
مؤشر السوق الرئيسية (تاسي),02-07-2009,4794.56,4929.27,4793.06,4928.65,384262397,6721006798.24,202655
مؤشر السوق الرئيسية (تاسي),02-08-2009,4928.65,4955.78,4884.62,4909.83,391870743,7130594315.9,211321
مؤشر السوق الرئيسية (تاسي),02-09-2009,4909.83,4934.67,4877.55,4934.63,273681506,5516679722.7,174243
مؤشر السوق الرئيسية (تاسي),02-10-2009,4934.63,4975.4,4899.73,4901.52,419391655,7748716260.89,215391
مؤشر السوق الرئيسية (تاسي),02-11-2009,4901.52,4901.52,4788.84,4847.62,344093511,6280867914.85,173527
مؤشر السوق الرئيسية (تاسي),02-14-2009,4847.62,4944.18,4847.62,4944.18,302241688,5162745384.75,158639
مؤشر السوق الرئيسية (تاسي),02-15-2009,4944.18,4971.04,4888.93,4896.35,333931503,5879909509.94,176772
مؤشر السوق الرئيسية (تاسي),02-16-2009,4896.35,4916.09,4875.52,4894.2,244072142,4114322913.7,140171
مؤشر السوق الرئيسية (تاسي),02-17-2009,4894.2,4896.32,4675.64,4688.89,272778467,4902117500.94,174450
مؤشر السوق الرئيسية (تاسي),02-18-2009,4688.89,4773.92,4633.73,4773.78,250173086,4358392849.15,159971
مؤشر السوق الرئيسية (تاسي),02-21-2009,4773.78,4773.78,4640.51,4675.66,206365308,3638716613.25,142473
مؤشر السوق الرئيسية (تاسي),02-22-2009,4675.66,4713.77,4662.9,4713.75,207963262,3678410837.8,136423
مؤشر السوق الرئيسية (تاسي),02-23-2009,4713.75,4783.12,4706.55,4751.45,265864496,4641150195.1,151626
مؤشر السوق الرئيسية (تاسي),02-24-2009,4751.45,4751.45,4472.97,4531.52,269606434,4632193129.35,163618
مؤشر السوق الرئيسية (تاسي),02-25-2009,4531.52,4621.86,4517.64,4542.11,204587590,3812623029.79,144083
مؤشر السوق الرئيسية (تاسي),02-28-2009,4542.11,4542.11,4327.48,4384.59,217659675,3626236678.35,139318
مؤشر السوق الرئيسية (تاسي),03-01-2009,4384.59,4450.72,4384.13,4414.56,196924410,3339047930.8,126344
مؤشر السوق الرئيسية (تاسي),03-02-2009,4414.56,4439.8,4322.37,4331.74,183278530,3348767617.89,122121
مؤشر السوق الرئيسية (تاسي),03-03-2009,4331.74,4331.74,4199.27,4318.51,208594540,3319343179.15,128662
مؤشر السوق الرئيسية (تاسي),03-04-2009,4318.51,4360.83,4313.68,4348.26,198545063,3432776785.95,131925
